locationId	city	country	province	address	longitude	latitude	postalCode	keys
LOC0987	San Luis Obispo	US	CA	2074 Monterey St	-120.64943	35.291049999999899	93401	us/ca/sanluisobispo/2074montereyst/-632112153
LOC0988	San Luis Obispo	US	CA	625 Toro St	-120.661779999999	35.287190000000002	93401	us/ca/sanluisobispo/625torost/1493141370
LOC0989	Santee	US	SC	221 Britain St	-80.474729999999894	33.4848	29142	us/sc/santee/221britainst/-1292587688
LOC0990	Sarasota	US	FL	1401 Ringling Blvd	-82.541340000000005	27.3339099999999	34236	us/fl/sarasota/1401ringlingblvd/796855224
LOC0991	Savanna	US	IL	101 Valley View Dr	-90.137900000000002	42.091000000000001	61074	us/il/savanna/101valleyviewdr/-1382556644
LOC0992	Savannah	US	GA	45 Eisenhower Dr	-81.115799999999894	32.009999999999899	31406	us/ga/savannah/45eisenhowerdr/-1170374718
LOC0993	Seattle	US	WA	1150 Fairview Ave N	-122.32902	47.629745		us/wa/seattle/1150fairviewaven/2133947513
LOC0994	Seattle	US	WA	925 Westlake Ave N	-122.34056	47.627487000000002		us/wa/seattle/925westlakeaven/747877225
LOC0995	Sevierville	US	TN	1020 Parkway	-83.567580000000007	35.849539999999898	37862	us/tn/sevierville/1020parkway/-1385863758
LOC0996	Sioux City	US	IA	5555 Sergeant Rd	-96.335759999999894	42.446820000000002	51106	us/ia/siouxcity/5555sergeantrd/595548883
LOC0997	South Bend	US	IN	425 N Dixie Way	-86.251480000000001	41.720219999999898		us/in/southbend/425ndixieway/366152545
LOC0998	South Haven	US	MI	201 Center St	-86.273740000000004	42.40455	49090	us/mi/southhaven/201centerst/643368610
LOC0999	Kissimmee	US	FL	7601 Black Lake Rd	-81.591571000000002	28.337484	34747	us/fl/kissimmee/7601blacklakerd/-1917144120
LOC1000	Klamath Falls	US	OR	6402 S 6th St	-121.71017000000001	42.203620000000001	97603	us/or/klamathfalls/6402s6thst/-467668991
LOC1001	Lafayette	US	LA	125 E Kaliste Saloom Rd	-92.013450000000006	30.19098	70508	us/la/lafayette/125ekalistesaloomrd/940530464
LOC1002	Lafayette	US	LA	213 Bendel Rd	-92.018199999999894	30.200759999999899	70503	us/la/lafayette/213bendelrd/-630056253
LOC1003	Lakeland	US	FL	4335 Williamstown Blvd	-81.976029999999895	28.099160000000001	33810	us/fl/lakeland/4335williamstownblvd/396941860
LOC1004	Lancaster	US	CA	2320 Double Play Way	-118.172455	34.701126000000002	93536	us/ca/lancaster/2320doubleplayway/-1865900993
LOC1005	Las Vegas	US	NV	3730 Las Vegas Blvd S	-115.176267999999	36.107740999999898	89158	us/nv/lasvegas/3730lasvegasblvds/-1699935985
